library,direction,term,overlap,query_size,term_size,p,genes,fdr
Reactome_2024,up,Cell Cycle,95,2300,577,0.15343561438872672,ACD;ALMS1;ANAPC10;B9D2;BORA;BRCA1;BUB1;BUB1B;CCNA2;CCNB1;CCNB2;CDC14A;CDC16;CDC20;CDC25A;CDC26;CDK1;CDT1;CENPI;CENPK;CENPM;CENPO;CENPQ;CENPU;CEP164;CEP290;CEP72;CEP78;CETN2;DHFR;DYNLL1;E2F1;FBXL7;FIGNL1;FOXM1;GINS1;HAUS3;HAUS5;HJURP;KIF20A;KIF23;LIG1;LMNB1;MAD2L1;MCM2;NDC1;NDE1;NEK2;NME7;NSL1;NUF2;NUP133;NUP50;NUP93;PCNA;PHF8;PLK1;PLK4;POLD3;POLR2H;POLR2I;POT1;PRIM2;PSMA4;PSMA5;PSMB5;PSMC3IP;RBX1;RCC2;REC8;RFC5;RMI1;RMI2;RPA3;RRM2;RUVBL1;RUVBL2;SDCCAG8;SEM1;SHQ1;SKA2;STN1;SYCE3;TK1;TUBA1A;TUBB2B;TUBG1;TUBGCP2;TYMS;UBE2C;UBE2V2;VRK1;WRAP53;ZNF385A;ZWINT,0.9999999999999972
Reactome_2024,up,Glycosaminoglycan Metabolism,19,2300,100,0.15446383948329082,B3GALT6;B3GNT2;B4GALT4;B4GALT5;CHST11;CHST9;DSE;GALNS;GLB1L;GNS;GPC3;GPC4;HAS3;HS3ST4;NDST2;SDC1;SGSH;ST3GAL2;UST,0.9999999999999972
Reactome_2024,up,Gap-filling DNA Repair Synthesis and Ligation in GG-NER,6,2300,25,0.15738087694851327,LIG1;PCNA;POLD3;RFC5;RPA3;XRCC1,0.9999999999999972
Reactome_2024,up,Formation of Incision Complex in GG-NER,9,2300,42,0.1634380806074232,CETN2;DDB2;ERCC3;ERCC4;GTF2H5;PIAS3;RBX1;RPA3;UBE2V2,0.9999999999999972
Reactome_2024,up,Deregulated CDK5 Triggers Multiple Neurodegenerative Pathways in Alzheimer's Disease Models,5,2300,20,0.1663248312338763,CAPNS1;CDC25A;CDK5;LMNB1;PRDX1,0.9999999999999972
Reactome_2024,up,Neurodegenerative Diseases,5,2300,20,0.1663248312338763,CAPNS1;CDC25A;CDK5;LMNB1;PRDX1,0.9999999999999972
Reactome_2024,up,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,7,2300,31,0.16832832329391487,BLNK;CD19;ITPR3;ORAI2;PLCG2;PTPN6;SYK,0.9999999999999972
Reactome_2024,up,Lysosome Vesicle Biogenesis,7,2300,31,0.16832832329391487,AP1G2;AP4E1;AP4M1;ARRB1;CLTA;CLTC;GNS,0.9999999999999972
Reactome_2024,up,Activation of SMO,4,2300,15,0.17392266262737222,ARRB1;ARRB2;EFCAB7;GAS8,0.9999999999999972
Reactome_2024,up,Condensation of Prophase Chromosomes,4,2300,15,0.17392266262737222,CCNB1;CDK1;PHF8;PLK1,0.9999999999999972
