source,target,cor_discovery,cor_validation,consensus_weight
CHRM1,FOLH1,0.7661136134974192,0.7670679207328941,0.7665906186163703
TCN1,SLC12A2,0.7999606238929435,0.7344122101366266,0.766486040196096
BPIFB2,CRISP3,0.7726282256443292,0.7603845375553338,0.7664819345938698
NDRG2,ATP2A3,0.7521540330001065,0.7808207145466142,0.7663533450675745
ATP2A3,TNFSF13,0.7154890628561272,0.8202669424214977,0.7660887846229171
KCNN4,ATP2A3,0.8348773369894534,0.7022701823691326,0.7657084691339383
OXR1,P4HB,0.6994349931557726,0.8381589933145305,0.765661628758029
PPP1R1B,CA2,0.7932575295799258,0.7389944519786785,0.7656454227316177
PPP1R1B,MANSC1,0.7932470010700993,0.7389300721624953,0.7656069903961245
EGF,SLC5A1,0.7733787851796868,0.7564677644054585,0.7648765394908429
BPIFB2,SLC12A2,0.7632797746740588,0.7663612630613288,0.7648189669381756
PPP1R1B,NRG3,0.7373782104629439,0.7928268165752221,0.7646000387217293
PHLDA1,C6orf58,0.7601725645731482,0.7687002426859031,0.7644245122119936
P4HB,AACS,0.8048048431169065,0.7259855292727749,0.7643799251625594
PHLDA1,FOLH1,0.746940621578691,0.7819213927156872,0.7642308886067948
SMAD9,LIMCH1,0.7848239203284585,0.7439643718762935,0.7641210865567393
SLITRK5,ST3GAL6,0.7452142641504255,0.7834077126903941,0.7640723801724153
LYZ,SLC12A2,0.7451600380918776,0.7834007316270285,0.7640411762597624
PPP1R1B,SAP30BP,0.720946405874855,0.8095852063148051,0.7639813772220575
LPO,GPAT2,0.7059322643907269,0.82677568327644,0.7639683437411053
CHRM1,PRSS8,0.6941501220734404,0.8405011753290041,0.7638285105031747
KCNN4,ROPN1,0.7501931767381125,0.7776089544693994,0.7637780645013321
RNF128,EGF,0.7044546387998445,0.8280776168461794,0.763769021677111
ADGRG2,ST3GAL6,0.7390651156666481,0.7883778387611582,0.7633233643699355
CA2,NRG3,0.7553771505527623,0.7713194434820091,0.7633066771510534
CCL28,ADGRG2,0.7436868914556267,0.7829640825271201,0.763072817400804
FOLH1,SLC12A2,0.7893611402454553,0.7375336327349441,0.763007463466137
PPP1R1B,EPHA7,0.7083999877858951,0.8216050885377851,0.7629056525449239
CA2,OGFRL1,0.7021499783132417,0.828860875941873,0.7628791818284731
ADGRG2,OGFRL1,0.6473604823384728,0.8990043404202197,0.7628760603393018
PHLDA1,CHRM1,0.825647508547194,0.7048572124637048,0.7628653887496654
NDRG2,P4HB,0.7505194333359255,0.7749870429376442,0.7626551227837163
CCL28,SLITRK5,0.82291761495713,0.7061110047999738,0.7622802529024197
SEC63,ALDH18A1,0.7624908970102525,0.7615070271835888,0.7619988033040638
PPP1R1B,ELF5,0.7265706556064092,0.7984118796129904,0.76164469591428
KCNN4,MANSC1,0.8332237126343244,0.69563985617038,0.7613301672826918
DMBT1,KCNN4,0.8497934393906137,0.681554888932711,0.7610393374850055
CA2,LYZ,0.7949891561470318,0.7285346882245904,0.7610369091019884
CCL28,PART1,0.7138276267817368,0.8105253319809042,0.7606414228625786
FOLH1,SLITRK5,0.6907111224092546,0.836838453239339,0.7602720745313275
CHRM1,BPIFB2,0.7675868053128261,0.7527663098180504,0.7601404389324136
RTN1,ADGRG2,0.7226582733072064,0.7990836064274072,0.7599107705835767
LPO,PYCR1,0.7166777422423218,0.8046630083073849,0.7593971741188212
SLC22A3,GALNT13,0.7499944050605583,0.7687262091628901,0.7593025456928089
CHRM1,ST3GAL6,0.7071678014426748,0.8149332135358713,0.7591406516178514
NRG3,KIAA1324,0.7279489022351195,0.7916206015720687,0.7591174796440221
ATP6V0E2,TNFSF13,0.6893536121840458,0.835763750903209,0.7590367320608498
SLC12A2,KIAA1324,0.7433039444834526,0.7748076250296679,0.7588923269479064
ACSL1,P4HB,0.7349928561109397,0.7834744594984209,0.758846579142793
F5,TTYH1,0.6806478261508891,0.8459734048582573,0.7588214276087879
ATP6V0E2,PART1,0.7188751089995501,0.8009241862795273,0.7587914481015657
ODAM,RTN1,0.7017837971287129,0.8202222279159668,0.7586953733852868
ODAM,SLCO1A2,0.7722157598379391,0.7452301941922765,0.7586029927850033
CCDC129,FAHD2A,0.7414866625640523,0.7759941005592098,0.7585441818332285
PPP1R1B,MGLL,0.6923813822949448,0.8309628976707427,0.7585138362120243
NRG3,SLC12A2,0.7488190052872323,0.768330419289378,0.7585119776932954
ACSL1,PYCR1,0.7027736681403589,0.8185263915626558,0.7584449846021657
SLC22A3,CHRM1,0.8103090510883085,0.7095794577334102,0.7582734711617678
AZGP1,FOLH1,0.8035164842419933,0.7155291367509375,0.7582476220436315
PYCR1,PART1,0.6645376379879683,0.8650837226030399,0.7582088720665717
TNFSF13,ALDH18A1,0.6486113356853603,0.8858585225815117,0.7580091553271994
PHLDA1,MUC7,0.7359682618832005,0.780382208504187,0.7578499439845594
LYZ,EGF,0.8008826332212673,0.7166000529576342,0.757570153437429
NDRG2,TNFRSF11A,0.7326142881107799,0.783235348389533,0.757502083946702
PPP1R1B,KANK4,0.7296799908199056,0.7863292687743647,0.7574752363085552
TUSC8,LINC01554,0.662140053417657,0.8660904194258063,0.7572801044416289
CCL28,CD46,0.8051649952957379,0.7121580279507701,0.7572349141612554
DMBT1,MANSC1,0.7886430062332117,0.7269516639775784,0.7571692978888624
